uri, type, function, type2, path2, tag
DALLE-pytorch/dalle_pytorch/vae.py:load_model, function, torch.device, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:device
DALLE-pytorch/dalle_pytorch/vae.py:unmap_pixels, function, torch.clamp, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:clamp
DALLE-pytorch/dalle_pytorch/vae.py:download, function, os.makedirs, [CLASS] [STDLIB], , [CLASS] [STDLIB]: os:makedirs
DALLE-pytorch/dalle_pytorch/vae.py:download, function, default, , , default
DALLE-pytorch/dalle_pytorch/vae.py:download, function, RuntimeError, , , RuntimeError
DALLE-pytorch/dalle_pytorch/vae.py:download, function, open, [BUILT_IN], , [BUILT_IN]: open
DALLE-pytorch/dalle_pytorch/vae.py:download, function, tqdm, , , tqdm
DALLE-pytorch/dalle_pytorch/vae.py:download, function, source.read, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: source:read
DALLE-pytorch/dalle_pytorch/vae.py:download, function, output.write, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: output:write
DALLE-pytorch/dalle_pytorch/vae.py:download, function, loop.update, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: loop:update
DALLE-pytorch/dalle_pytorch/vae.py:download, function, os.rename, [CLASS] [STDLIB], , [CLASS] [STDLIB]: os:rename
DALLE-pytorch/dalle_pytorch/vae.py:make_contiguous, function, torch.no_grad, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: torch:no_grad
DALLE-pytorch/dalle_pytorch/vae.py:make_contiguous, function, module.parameters, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: module:parameters
DALLE-pytorch/dalle_pytorch/vae.py:make_contiguous, function, param.set_, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: param:set_
DALLE-pytorch/dalle_pytorch/vae.py:get_obj_from_str, function, string.rsplit, [CLASS] [STDLIB], , [CLASS] [STDLIB]: string:rsplit
DALLE-pytorch/dalle_pytorch/vae.py:get_obj_from_str, function, importlib.import_module, [CLASS] [STDLIB], C:/Python39/lib/importlib, [CLASS] [STDLIB]: importlib:import_module
DALLE-pytorch/dalle_pytorch/vae.py:get_obj_from_str, function, importlib.reload, [CLASS] [STDLIB], C:/Python39/lib/importlib, [CLASS] [STDLIB]: importlib:reload
DALLE-pytorch/dalle_pytorch/vae.py:get_obj_from_str, function, getattr, , , getattr
DALLE-pytorch/dalle_pytorch/vae.py:instantiate_from_config, function, KeyError, , , KeyError
DALLE-pytorch/dalle_pytorch/vae.py:instantiate_from_config, function, get_obj_from_str, , , get_obj_from_str
